date,long_gross_return,short_gross_return,gross_return,transaction_cost,borrow_cost,net_return,long_exposure,short_exposure_abs,gross_exposure,net_exposure,benchmark_return,active_return_vs_equal_weight_long_only,excess_return,portfolio_nav,benchmark_nav
2025-08-26,0.009119560881851946,-0.005833089553760451,0.003286471328091494,0.0,0.0,0.003286471328091494,1.0,1.0,2.0,0.0,0.005578981859862821,-0.002292510531771327,-0.002292510531771327,1.1283501538265965,1.0930055485684838
2025-08-27,-0.0020013690400464525,-0.002052989425676383,-0.004054358465722835,0.004000000000000001,0.0,-0.008054358465722836,1.0,1.0,2.0,0.0,0.0033882279917755815,-0.011442586457498419,-0.011442586457498419,1.1192620172128236,1.0967089005633095
2025-08-28,0.0,0.0,0.0,0.004000000000000001,0.0,-0.004000000000000001,1.0,1.0,2.0,0.0,0.002692210376204438,-0.006692210376204439,-0.006692210376204439,1.1147849691439722,1.0996614716450817
2025-08-29,0.0021363746672234396,-7.713573370993215e-05,0.0020592389335135066,0.0,0.0,0.0020592389335135066,1.0,1.0,2.0,0.0,-0.0027771723829228758,0.004836411316436383,0.004836411316436383,1.117080577754929,1.0966075221754645
2025-09-02,-0.004538668642384886,0.006263254131533747,0.0017245854891488604,0.0,0.0,0.0017245854891488604,1.0,1.0,2.0,0.0,-0.005596009174429053,0.007320594663577913,0.007320594663577913,1.1190070787095352,1.0904708964206227
2025-09-03,-9.003392217477621e-05,0.00469310787722399,0.004603073955049213,0.0,0.0,0.004603073955049213,1.0,1.0,2.0,0.0,-0.0021409519380187394,0.006744025893067953,0.006744025893067953,1.1241579510490587,1.088136250641578
2025-09-04,0.021255859482213327,-0.006905658274395071,0.014350201207818252,0.0,0.0,0.014350201207818252,1.0,1.0,2.0,0.0,0.00947639480511196,0.0048738064027062915,0.0048738064027062915,1.1402898438359814,1.0984478593544118
2025-09-05,0.0074203108652826765,0.005423812012464513,0.01284412287774719,0.0,0.0,0.01284412287774719,1.0,1.0,2.0,0.0,-0.0018822249999781568,0.014726347877725348,0.014726347877725348,1.154935866706458,1.0963803333323625
2025-09-08,0.017431416832708737,0.000879432013741438,0.01831084884645017,0.0,0.0,0.01831084884645017,1.0,1.0,2.0,0.0,0.0022011330900564064,0.016109715756393764,0.016109715756393764,1.1760837227890637,1.0987936123633475
2025-09-09,0.004306700317424273,0.001229890128853195,0.005536590446277467,0.0,0.0,0.005536590446277467,1.0,1.0,2.0,0.0,0.0007700160653477088,0.004766574380929758,0.004766574380929758,1.18259521669268,1.0996397010973686
2025-09-10,0.0017509403668204589,0.026948908903368797,0.02869984927018926,0.0,0.0,0.02869984927018926,1.0,1.0,2.0,0.0,0.002397875542647539,0.02630197372754172,0.02630197372754172,1.2165355211594069,1.1022765002423542
2025-09-11,0.013883508746117525,-0.020573533953967618,-0.006690025207850092,0.004000000000000001,0.0,-0.010690025207850094,1.0,1.0,2.0,0.0,0.012826096981194851,-0.023516122189044947,-0.023516122189044947,1.2035307257719678,1.1164144055345546
2025-09-12,0.0,0.0,0.0,0.004000000000000001,0.0,-0.004000000000000001,1.0,1.0,2.0,0.0,-0.005609177016377675,0.0016091770163776742,0.0016091770163776742,1.19871660286888,1.1101522395102772
2025-09-15,0.015398525111760177,-0.0016669205341232844,0.013731604577636891,0.0,0.0,0.013731604577636891,1.0,1.0,2.0,0.0,-0.00016862527168779007,0.013900229849324682,0.013900229849324682,1.2151769052601236,1.109965039787275
2025-09-16,-0.002450955526654819,0.001781887295107537,-0.0006690682315472819,0.0,0.0,-0.0006690682315472819,1.0,1.0,2.0,0.0,-0.0021767664520063214,0.0015076982204590395,0.0015076982204590395,1.214363868997104,1.107548905125766
2025-09-17,-0.0007488526671269036,0.0002065602998673143,-0.0005422923672595893,0.0,0.0,-0.0005422923672595893,1.0,1.0,2.0,0.0,0.002559530102970115,-0.0031018224702297043,-0.0031018224702297043,1.213705328739871,1.110383709888947
2025-09-18,0.017964199933424976,-0.003856660555395935,0.014107539378029041,0.0,0.0,0.014107539378029041,1.0,1.0,2.0,0.0,0.007031491805770319,0.0070760475722587216,0.0070760475722587216,1.2308277244583923,1.1181913638462921
2025-09-19,0.008792519970585323,-0.004273020628800378,0.004519499341784945,0.0,0.0,0.004519499341784945,1.0,1.0,2.0,0.0,0.0010387445069945586,0.003480754834790386,0.003480754834790386,1.2363904495489326,1.1193528789832563
2025-09-22,0.009654153531553787,0.0024137072514567926,0.012067860783010581,0.0,0.0,0.012067860783010581,1.0,1.0,2.0,0.0,0.0021052960976223303,0.009962564685388252,0.009962564685388252,1.251311037367533,1.121709448231242
2025-09-23,-0.0035471653273365213,0.0005266261403542972,-0.003020539186982224,0.0,0.0,-0.003020539186982224,1.0,1.0,2.0,0.0,0.0012379041321635587,-0.0042584433191457825,-0.0042584433191457825,1.247531403344061,1.1230980169922942
2025-09-24,-0.022584918455025475,0.005738189905421838,-0.01684672854960364,0.0,0.0,-0.01684672854960364,1.0,1.0,2.0,0.0,-0.0034632247739231465,-0.013383503775680492,-0.013383503775680492,1.2265145804348174,1.1192084761163026
2025-09-25,-0.016654355622693122,0.0041448636072017936,-0.012509492015491331,0.004000000000000001,0.0,-0.01650949201549133,1.0,1.0,2.0,0.0,-0.005862292288821704,-0.010647199726669627,-0.010647199726669627,1.206265447762245,1.112647348897182
2025-09-26,0.0,0.0,0.0,0.004000000000000001,0.0,-0.004000000000000001,1.0,1.0,2.0,0.0,0.009718698299429377,-0.013718698299429379,-0.013718698299429379,1.201440385971196,1.1234608327947735
2025-09-29,0.018126370949194205,-0.003900309059889773,0.01422606188930443,0.0,0.0,0.01422606188930443,1.0,1.0,2.0,0.0,0.004028229021878442,0.010197832867425989,0.010197832867425989,1.218532151258332,1.1279863903263811
2025-09-30,0.011662866149679936,-0.0039058459577453407,0.007757020191934594,0.0,0.0,0.007757020191934594,1.0,1.0,2.0,0.0,0.0035688270760596465,0.0041881931158749474,0.0041881931158749474,1.2279843297601645,1.1320119786976048
2025-10-01,0.02812844874712342,0.0015541496759753023,0.029682598423098717,0.0,0.0,0.029682598423098717,1.0,1.0,2.0,0.0,0.003361211734703956,0.02632138668839476,0.02632138668839476,1.2644340954902933,1.1358169106442286
2025-10-02,0.008757349132973042,0.002428049543677646,0.011185398676650686,0.0,0.0,0.011185398676650686,1.0,1.0,2.0,0.0,0.0006175989152207203,0.010567799761429965,0.010567799761429965,1.2785772949487022,1.1365183899361317
2025-10-03,-0.004455455781541152,0.0001241087516281826,-0.00433134702991297,0.0,0.0,-0.00433134702991297,1.0,1.0,2.0,0.0,0.0022619661182344303,-0.0065933131481474005,-0.0065933131481474005,1.2730393329797118,1.1390891560269176
2025-10-06,0.004649757216059463,-0.0009620964429088552,0.003687660773150609,0.0,0.0,0.003687660773150609,1.0,1.0,2.0,0.0,0.001681501223481705,0.0020061595496689037,0.0020061595496689037,1.277733870190619,1.1410045358364316
2025-10-07,-0.015254152458916431,0.0026802818923979898,-0.01257387056651844,0.0,0.0,-0.01257387056651844,1.0,1.0,2.0,0.0,-0.0036365503198220635,-0.008937320246696377,-0.008937320246696377,1.2616678098883853,1.1368552154267173
2025-10-08,0.023539588285371144,-0.0008719563168916363,0.02266763196847951,0.0,0.0,0.02266763196847951,1.0,1.0,2.0,0.0,0.004662592838453311,0.0180050391300262,0.0180050391300262,1.2902668314694128,1.1421559084125243
2025-10-09,0.006040172673074313,0.00480023048422627,0.010840403157300584,0.004000000000000001,0.0,0.006840403157300583,1.0,1.0,2.0,0.0,-0.006318493753206943,0.013158896910507527,0.013158896910507527,1.2990927767771565,1.1349392034400314
2025-10-10,0.0,0.0,0.0,0.004000000000000001,0.0,-0.004000000000000001,1.0,1.0,2.0,0.0,-0.02283125619751537,0.01883125619751537,0.01883125619751537,1.293896405670048,1.109027115717688
2025-10-13,0.027234616910866573,-0.015198162590631286,0.012036454320235283,0.0,0.0,0.012036454320235283,1.0,1.0,2.0,0.0,0.011591242521340799,0.00044521179889448446,0.00044521179889448446,1.3094703306520121,1.1218821179787148
2025-10-14,-0.013575559841368118,-0.0075920035169081135,-0.021167563358276232,0.0,0.0,-0.021167563358276232,1.0,1.0,2.0,0.0,0.006045779890978021,-0.027213343249254254,-0.027213343249254254,1.2817520344621527,1.1286647703276385
2025-10-15,0.025034380376983748,-0.000595694479741427,0.024438685897242317,0.0,0.0,0.024438685897242317,1.0,1.0,2.0,0.0,0.0026388978156666326,0.021799788081575684,0.021799788081575684,1.3130763698305246,1.131643201324676
2025-10-16,-0.0023617909328287174,0.011965685886184685,0.009603894953355969,0.0,0.0,0.009603894953355969,1.0,1.0,2.0,0.0,-0.010258752530133836,0.019862647483489804,0.019862647483489804,1.325687017352111,1.1200339537698778
2025-10-17,-0.002606910413661856,-0.009254992033678118,-0.011861902447339973,0.0,0.0,-0.011861902447339973,1.0,1.0,2.0,0.0,0.004676648210820886,-0.016538550658160858,-0.016538550658160858,1.309961847276575,1.1252719585558344
2025-10-20,0.010109542589149229,-0.011346450532497894,-0.0012369079433486646,0.0,0.0,-0.0012369079433486646,1.0,1.0,2.0,0.0,0.009629706770138248,-0.010866614713486912,-0.010866614713486912,1.308341545062195,1.1361079975533863
2025-10-21,0.008338411981701249,-0.0035843961009572375,0.004754015880744013,0.0,0.0,0.004754015880744013,1.0,1.0,2.0,0.0,0.0039473509387308,0.0008066649420132126,0.0008066649420132126,1.3145614215448578,1.1405926145240284
2025-10-22,-0.01701367070152185,0.0064353773196541356,-0.010578293381867715,0.0,0.0,-0.010578293381867715,1.0,1.0,2.0,0.0,-0.005284105923732642,-0.005294187458135073,-0.005294187458135073,1.3006556051592713,1.1345656023330564
2025-10-23,0.0322994457908006,-0.0074525600728877605,0.024846885717912843,0.004000000000000001,0.0,0.020846885717912843,1.0,1.0,2.0,0.0,0.006976082570277826,0.013870803147635016,0.013870803147635016,1.3277702239183895,1.1424804256563288
2025-10-24,0.0,0.0,0.0,0.004000000000000001,0.0,-0.004000000000000001,1.0,1.0,2.0,0.0,0.006051982402054815,-0.010051982402054816,-0.010051982402054816,1.322459143022716,1.149394697087093
2025-10-27,0.012597078909711968,-0.0054872650288726905,0.007109813880839278,0.0,0.0,0.007109813880839278,1.0,1.0,2.0,0.0,0.006324758462661145,0.0007850554181781325,0.0007850554181781325,1.3318615813946215,1.1566643409244324
2025-10-28,-0.004039614078441451,0.0014680891748197152,-0.0025715249036217355,0.0,0.0,-0.0025715249036217355,1.0,1.0,2.0,0.0,-0.007141020044844309,0.004569495141222573,0.004569495141222573,1.328436666169888,1.1484045776807343
2025-10-29,0.02185000577113099,0.011262869761467509,0.0331128755325985,0.0,0.0,0.0331128755325985,1.0,1.0,2.0,0.0,-0.004087223638838632,0.03720009917143713,0.03720009917143713,1.3724250241497116,1.143710791343887
2025-10-30,-0.021243721108813403,-0.003883785157406172,-0.025127506266219575,0.0,0.0,-0.025127506266219575,1.0,1.0,2.0,0.0,-0.005029976198486125,-0.02009753006773345,-0.02009753006773345,1.337939405755473,1.1379579532854756
2025-10-31,0.0032286246022854626,-9.196044257397929e-06,0.0032194285580280655,0.0,0.0,0.0032194285580280655,1.0,1.0,2.0,0.0,0.0018106634111211665,0.001408765146906899,0.001408765146906899,1.3422468060872732,1.140018412114884
2025-11-03,0.017510379141807045,0.000594454155405794,0.01810483329721284,0.0,0.0,0.01810483329721284,1.0,1.0,2.0,0.0,-0.001268846140092661,0.0193736794373055,0.0193736794373055,1.3665479607551998,1.1385719041530373
2025-11-04,-0.03563802986541092,0.007313312773400405,-0.02832471709201051,0.0,0.0,-0.02832471709201051,1.0,1.0,2.0,0.0,-0.008352496581825655,-0.019972220510184855,-0.019972220510184855,1.327840876374145,1.1290619862154363
